"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2C)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/05/24 19:07:00,-888.88,27.26,23.56,21.11
01/05/24 19:08:00,-888.88,27.18,23.46,21.00
01/05/24 19:09:00,-888.88,27.16,23.46,21.01
01/05/24 19:10:00,-888.88,27.02,23.39,20.99
01/05/24 19:11:00,-888.88,26.93,23.33,20.96
01/05/24 19:12:00,-888.88,26.84,23.26,20.93
01/05/24 19:13:00,-888.88,26.79,23.25,20.99
01/05/24 19:14:00,-888.88,26.84,23.28,21.00
01/05/24 19:15:00,-888.88,26.70,23.20,20.91
01/05/24 19:16:00,-888.88,26.62,23.21,20.96
01/05/24 19:17:00,-888.88,26.51,23.14,20.94
01/05/24 19:18:00,-888.88,26.52,23.04,20.87
01/05/24 19:19:00,-888.88,26.36,23.04,20.85
01/05/24 19:20:00,-888.88,26.40,22.98,20.80
01/05/24 19:21:00,-888.88,26.32,22.95,20.80
01/05/24 19:22:00,-888.88,26.21,22.91,20.79
01/05/24 19:23:00,-888.88,26.10,22.90,20.78
01/05/24 19:24:00,-888.88,26.00,22.83,20.73
01/05/24 19:25:00,-888.88,25.96,22.75,20.61
01/05/24 19:26:00,-888.88,25.94,22.76,20.66
01/05/24 19:27:00,-888.88,25.91,22.66,20.67
01/05/24 19:28:00,-888.88,25.88,22.70,20.59
01/05/24 19:29:00,-888.88,25.86,22.58,20.50
01/05/24 19:30:00,-888.88,25.71,22.55,20.51
01/05/24 19:31:00,-888.88,25.59,22.55,20.45
01/05/24 19:32:00,-888.88,25.53,22.48,20.41
01/05/24 19:33:00,-888.88,25.46,22.40,20.32
01/05/24 19:34:00,-888.88,25.52,22.41,20.39
01/05/24 19:35:00,-888.88,25.35,22.32,20.31
01/05/24 19:36:00,-888.88,25.27,22.34,20.31
01/05/24 19:37:00,-888.88,25.28,22.26,20.26
01/05/24 19:38:00,-888.88,25.05,22.21,20.28
01/05/24 19:39:00,-888.88,25.04,22.19,20.24
01/05/24 19:40:00,-888.88,24.94,22.14,20.24
01/05/24 19:41:00,-888.88,24.91,22.09,20.16
01/05/24 19:42:00,-888.88,24.93,22.08,20.21
01/05/24 19:43:00,-888.88,24.86,21.95,20.17
01/05/24 19:44:00,-888.88,24.88,22.03,20.18
01/05/24 19:45:00,-888.88,24.87,21.96,20.20
01/05/24 19:46:00,-888.88,24.73,21.86,20.22
01/05/24 19:47:00,-888.88,24.69,21.85,20.16
01/05/24 19:48:00,-888.88,24.64,21.85,20.20
01/05/24 19:49:00,-888.88,24.64,21.81,20.17
01/05/24 19:50:00,-888.88,24.62,21.81,20.19
01/05/24 19:51:00,-888.88,24.63,21.80,20.22
01/05/24 19:52:00,-888.88,24.55,21.83,20.29
01/05/24 19:53:00,-888.88,24.49,21.78,20.19
01/05/24 19:54:00,-888.88,24.48,21.77,20.23
01/05/24 19:55:00,-888.88,24.33,21.69,20.20
01/05/24 19:56:00,-888.88,24.34,21.68,20.24
01/05/24 19:57:00,-888.88,24.28,21.67,20.10
01/05/24 19:58:00,-888.88,24.25,21.59,20.07
01/05/24 19:59:00,-888.88,24.25,21.60,20.03
01/05/24 20:00:00,-888.88,24.20,21.64,20.08
01/05/24 20:01:00,-888.88,24.14,21.55,20.02
01/05/24 20:02:00,-888.88,24.12,21.51,20.00
