"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3C)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
01/05/24 17:55:00,40.28,36.95,30.96,25.75
01/05/24 17:56:00,40.20,37.00,30.91,25.80
01/05/24 17:57:00,40.03,36.55,30.83,25.71
01/05/24 17:58:00,39.85,36.28,30.74,25.55
01/05/24 17:59:00,39.71,36.60,30.69,25.69
01/05/24 18:00:00,39.54,36.53,30.61,25.77
01/05/24 18:01:00,39.38,36.18,30.58,25.55
01/05/24 18:02:00,39.25,36.19,30.47,25.67
01/05/24 18:03:00,39.11,36.03,30.44,25.57
01/05/24 18:04:00,38.92,35.72,30.32,25.50
01/05/24 18:05:00,38.71,35.72,30.22,25.45
01/05/24 18:06:00,38.51,35.54,30.16,25.44
01/05/24 18:07:00,38.34,35.34,30.07,25.36
01/05/24 18:08:00,38.16,35.20,29.98,25.22
01/05/24 18:09:00,38.00,35.15,29.87,25.16
01/05/24 18:10:00,37.79,34.96,29.75,25.05
01/05/24 18:11:00,37.57,34.77,29.66,24.99
01/05/24 18:12:00,37.40,34.50,29.54,24.88
01/05/24 18:13:00,37.25,34.41,29.42,24.72
01/05/24 18:14:00,37.05,34.23,29.31,24.66
01/05/24 18:15:00,36.87,34.15,29.20,24.56
01/05/24 18:16:00,36.65,33.88,29.10,24.37
01/05/24 18:17:00,36.51,33.69,28.97,24.29
01/05/24 18:18:00,36.32,33.59,28.86,24.25
01/05/24 18:19:00,36.16,33.46,28.71,24.17
01/05/24 18:20:00,35.97,33.28,28.56,24.04
01/05/24 18:21:00,35.81,33.12,28.48,23.98
01/05/24 18:22:00,35.65,33.19,28.32,23.87
01/05/24 18:23:00,35.45,32.92,28.22,23.84
01/05/24 18:24:00,35.30,32.58,28.08,23.67
01/05/24 18:25:00,35.10,32.50,27.96,23.56
01/05/24 18:26:00,34.95,32.56,27.83,23.52
01/05/24 18:27:00,34.77,32.36,27.70,23.37
01/05/24 18:28:00,34.64,32.29,27.61,23.34
01/05/24 18:29:00,34.47,32.24,27.45,23.23
01/05/24 18:30:00,34.37,32.01,27.38,23.22
01/05/24 18:31:00,34.16,31.70,27.23,23.02
01/05/24 18:32:00,34.03,31.56,27.12,22.97
01/05/24 18:33:00,33.88,31.46,27.01,22.81
01/05/24 18:34:00,33.76,31.30,26.91,22.80
01/05/24 18:35:00,33.60,31.36,26.81,22.85
01/05/24 18:36:00,33.46,31.24,26.71,22.82
01/05/24 18:37:00,33.31,31.09,26.61,22.74
01/05/24 18:38:00,33.20,31.09,26.50,22.71
01/05/24 18:39:00,33.03,30.96,26.44,22.60
01/05/24 18:40:00,32.91,30.76,26.32,22.58
01/05/24 18:41:00,32.78,30.61,26.24,22.45
01/05/24 18:42:00,32.64,30.36,26.12,22.37
01/05/24 18:43:00,32.52,30.24,26.11,22.27
01/05/24 18:44:00,32.38,30.14,25.94,22.16
01/05/24 18:45:00,32.23,30.07,25.84,22.13
01/05/24 18:46:00,32.09,29.99,25.73,22.11
01/05/24 18:47:00,32.04,29.95,25.65,22.08
01/05/24 18:48:00,31.93,29.91,25.56,22.05
01/05/24 18:49:00,31.77,29.89,25.49,22.05
01/05/24 18:50:00,31.62,29.78,25.44,22.02
01/05/24 18:51:00,31.54,29.58,25.35,21.99
01/05/24 18:52:00,31.45,29.43,25.22,21.90
01/05/24 18:53:00,31.29,29.45,25.22,21.87
01/05/24 18:54:00,31.18,29.30,25.15,21.84
01/05/24 18:55:00,31.08,29.15,25.08,21.80
01/05/24 18:56:00,30.97,29.12,24.99,21.75
01/05/24 18:57:00,30.90,28.97,24.91,21.64
01/05/24 18:58:00,30.80,28.92,24.91,21.57
01/05/24 18:59:00,30.69,28.76,24.77,21.53
01/05/24 19:00:00,30.57,28.70,24.75,21.55
01/05/24 19:01:00,30.44,28.63,24.68,21.50
01/05/24 19:02:00,30.34,28.56,24.60,21.52
01/05/24 19:03:00,30.28,28.35,24.51,21.43
01/05/24 19:04:00,30.16,28.32,24.49,21.39
01/05/24 19:05:00,30.07,28.36,24.41,21.34
01/05/24 19:06:00,29.95,28.25,24.33,21.34
01/05/24 19:07:00,29.88,28.11,24.29,21.34
01/05/24 19:08:00,29.79,28.02,24.19,21.33
01/05/24 19:09:00,29.68,27.97,24.20,21.34
01/05/24 19:10:00,29.64,27.92,24.16,21.30
01/05/24 19:11:00,29.55,27.79,24.12,21.30
01/05/24 19:12:00,29.42,27.78,24.02,21.26
01/05/24 19:13:00,29.36,27.68,24.05,21.28
01/05/24 19:14:00,29.26,27.58,23.98,21.25
01/05/24 19:15:00,29.18,27.46,23.97,21.26
01/05/24 19:16:00,29.08,27.52,23.89,21.19
01/05/24 19:17:00,29.04,27.43,23.84,21.19
01/05/24 19:18:00,28.94,27.35,23.78,21.16
01/05/24 19:19:00,28.83,27.28,23.76,21.17
01/05/24 19:20:00,28.76,27.20,23.68,21.17
01/05/24 19:21:00,28.68,27.12,23.68,21.14
01/05/24 19:22:00,28.64,27.06,23.67,21.09
01/05/24 19:23:00,28.57,26.90,23.62,21.07
01/05/24 19:24:00,28.42,26.91,23.59,21.01
01/05/24 19:25:00,28.41,26.87,23.53,20.97
01/05/24 19:26:00,28.32,26.84,23.47,20.95
01/05/24 19:27:00,28.21,26.72,23.40,20.91
01/05/24 19:28:00,28.16,26.73,23.40,20.90
01/05/24 19:29:00,28.09,26.63,23.33,20.83
01/05/24 19:30:00,27.96,26.54,23.27,20.79
01/05/24 19:31:00,27.93,26.47,23.25,20.79
01/05/24 19:32:00,27.88,26.36,23.21,20.73
01/05/24 19:33:00,27.79,26.33,23.16,20.66
01/05/24 19:34:00,27.71,26.31,23.11,20.70
01/05/24 19:35:00,27.63,26.21,23.04,20.64
01/05/24 19:36:00,27.53,26.13,23.01,20.61
01/05/24 19:37:00,27.49,26.08,22.95,20.58
01/05/24 19:38:00,27.42,25.98,22.93,20.51
01/05/24 19:39:00,27.33,25.87,22.85,20.51
01/05/24 19:40:00,27.26,25.76,22.82,20.44
01/05/24 19:41:00,27.23,25.74,22.79,20.46
01/05/24 19:42:00,27.14,25.75,22.76,20.43
01/05/24 19:43:00,27.04,25.71,22.72,20.40
01/05/24 19:44:00,27.00,25.62,22.70,20.44
01/05/24 19:45:00,26.96,25.64,22.64,20.42
01/05/24 19:46:00,26.86,25.56,22.59,20.41
01/05/24 19:47:00,26.84,25.51,22.57,20.40
01/05/24 19:48:00,26.76,25.51,22.48,20.40
01/05/24 19:49:00,26.70,25.42,22.47,20.43
01/05/24 19:50:00,26.65,25.40,22.47,20.49
01/05/24 19:51:00,26.59,25.42,22.43,20.51
01/05/24 19:52:00,26.50,25.32,22.43,20.48
01/05/24 19:53:00,26.46,25.17,22.42,20.46
01/05/24 19:54:00,26.39,25.24,22.40,20.47
01/05/24 19:55:00,26.33,25.11,22.35,20.43
01/05/24 19:56:00,26.29,25.08,22.36,20.41
01/05/24 19:57:00,26.25,25.07,22.32,20.37
01/05/24 19:58:00,26.21,24.98,22.28,20.39
01/05/24 19:59:00,26.14,24.87,22.24,20.30
01/05/24 20:00:00,26.05,24.88,22.21,20.26
01/05/24 20:01:00,26.02,24.85,22.19,20.29
01/05/24 20:02:00,25.95,24.82,22.22,20.27
01/05/24 20:03:00,25.90,24.74,22.18,20.24
01/05/24 20:04:00,25.88,24.73,22.15,20.22
01/05/24 20:05:00,25.83,24.71,22.08,20.23
01/05/24 20:06:00,25.77,24.65,22.03,20.19
01/05/24 20:07:00,25.68,24.55,22.07,20.22
01/05/24 20:08:00,25.64,24.56,22.00,20.19
01/05/24 20:09:00,25.57,24.58,22.02,20.15
01/05/24 20:10:00,25.56,24.50,21.97,20.23
01/05/24 20:11:00,25.52,24.48,21.94,20.18
01/05/24 20:12:00,25.45,24.46,21.95,20.22
01/05/24 20:13:00,25.44,24.33,21.92,20.11
01/05/24 20:14:00,25.36,24.20,21.88,20.03
01/05/24 20:15:00,25.32,24.24,21.82,20.00
01/05/24 20:16:00,25.27,24.23,21.80,19.99
01/05/24 20:17:00,25.24,24.23,21.81,19.95
01/05/24 20:18:00,25.15,24.15,21.74,19.98
01/05/24 20:19:00,25.16,24.09,21.73,19.96
01/05/24 20:20:00,25.09,24.11,21.69,19.94
01/05/24 20:21:00,25.08,24.05,21.67,19.93
01/05/24 20:22:00,24.99,23.88,21.58,19.82
01/05/24 20:23:00,24.96,23.88,21.63,19.77
01/05/24 20:24:00,24.89,23.85,21.53,19.74
01/05/24 20:25:00,24.91,23.85,21.56,19.79
01/05/24 20:26:00,24.82,23.85,21.48,19.80
01/05/24 20:27:00,24.76,23.81,21.47,19.80
01/05/24 20:28:00,24.79,23.76,21.45,19.82
01/05/24 20:29:00,24.67,23.74,21.38,19.77
01/05/24 20:30:00,24.66,23.67,21.39,19.79
01/05/24 20:31:00,24.59,23.73,21.33,19.81
01/05/24 20:32:00,24.56,23.70,21.38,19.85
01/05/24 20:33:00,24.51,23.61,21.32,19.85
01/05/24 20:34:00,24.46,23.56,21.31,19.81
01/05/24 20:35:00,24.43,23.53,21.30,19.81
01/05/24 20:36:00,24.39,23.49,21.27,19.80
01/05/24 20:37:00,24.36,23.50,21.28,19.76
01/05/24 20:38:00,24.29,23.43,21.24,19.74
01/05/24 20:39:00,24.24,23.35,21.21,19.76
01/05/24 20:40:00,24.19,23.29,21.21,19.67
01/05/24 20:41:00,24.20,23.27,21.17,19.65
01/05/24 20:42:00,24.14,23.22,21.14,19.64
01/05/24 20:43:00,24.15,23.28,21.12,19.64
01/05/24 20:44:00,24.02,23.24,21.09,19.66
01/05/24 20:45:00,24.05,23.21,21.08,19.67
01/05/24 20:46:00,23.98,23.17,21.04,19.62
01/05/24 20:47:00,23.94,23.12,21.02,19.60
01/05/24 20:48:00,23.93,23.09,21.01,19.60
01/05/24 20:49:00,23.85,23.03,21.00,19.60
01/05/24 20:50:00,23.80,23.01,20.96,19.59
01/05/24 20:51:00,23.83,23.04,20.91,19.55
01/05/24 20:52:00,23.80,22.93,20.94,19.59
01/05/24 20:53:00,23.72,22.89,20.89,19.58
01/05/24 20:54:00,23.68,22.93,20.85,19.58
01/05/24 20:55:00,23.69,22.86,20.92,19.50
01/05/24 20:56:00,23.63,22.82,20.85,19.46
01/05/24 20:57:00,23.59,22.78,20.81,19.46
01/05/24 20:58:00,23.57,22.74,20.81,19.44
01/05/24 20:59:00,23.51,22.70,20.77,19.38
01/05/24 21:00:00,23.48,22.69,20.74,19.36
01/05/24 21:01:00,23.48,22.67,20.73,19.35
01/05/24 21:02:00,23.40,22.62,20.68,19.30
01/05/24 21:03:00,23.39,22.61,20.69,19.31
01/05/24 21:04:00,23.35,22.61,20.65,19.28
01/05/24 21:05:00,23.32,22.56,20.67,19.29
01/05/24 21:06:00,23.26,22.54,20.56,19.25
01/05/24 21:07:00,23.22,22.50,20.56,19.21
01/05/24 21:08:00,23.19,22.41,20.54,19.16
01/05/24 21:09:00,23.18,22.40,20.49,19.08
01/05/24 21:10:00,23.12,22.36,20.45,19.07
01/05/24 21:11:00,23.09,22.35,20.44,19.03
01/05/24 21:12:00,23.10,22.32,20.40,19.03
01/05/24 21:13:00,23.03,22.29,20.35,18.97
01/05/24 21:14:00,23.01,22.23,20.35,18.96
01/05/24 21:15:00,22.98,22.18,20.31,18.86
01/05/24 21:16:00,22.90,22.12,20.24,18.85
01/05/24 21:17:00,22.90,22.07,20.19,18.79
01/05/24 21:18:00,22.86,22.03,20.19,18.76
01/05/24 21:19:00,22.79,22.05,20.16,18.72
01/05/24 21:20:00,22.76,21.99,20.08,18.67
01/05/24 21:21:00,22.74,21.95,20.04,18.64
01/05/24 21:22:00,22.65,21.89,20.06,18.61
01/05/24 21:23:00,22.66,21.88,19.97,18.56
01/05/24 21:24:00,22.62,21.88,19.93,18.53
01/05/24 21:25:00,22.63,21.85,19.90,18.46
01/05/24 21:26:00,22.53,21.77,19.84,18.50
01/05/24 21:27:00,22.52,21.79,19.82,18.38
01/05/24 21:28:00,22.43,21.65,19.77,18.42
01/05/24 21:29:00,22.41,21.62,19.77,18.37
01/05/24 21:30:00,22.40,21.63,19.72,18.36
01/05/24 21:31:00,22.33,21.59,19.66,18.32
01/05/24 21:32:00,22.28,21.54,19.61,18.29
01/05/24 21:33:00,22.25,21.47,19.58,18.31
01/05/24 21:34:00,22.23,21.47,19.54,18.29
01/05/24 21:35:00,22.18,21.34,19.51,18.23
01/05/24 21:36:00,22.13,21.34,19.48,18.22
01/05/24 21:37:00,22.11,21.36,19.46,18.19
01/05/24 21:38:00,22.05,21.27,19.45,18.13
01/05/24 21:39:00,22.04,21.27,19.36,18.13
01/05/24 21:40:00,22.01,21.20,19.36,18.09
01/05/24 21:41:00,21.96,21.22,19.31,18.06
01/05/24 21:42:00,21.92,21.18,19.30,18.06
01/05/24 21:43:00,21.85,21.12,19.30,18.00
01/05/24 21:44:00,21.86,21.09,19.24,17.95
01/05/24 21:45:00,21.81,21.10,19.19,17.99
01/05/24 21:46:00,21.76,21.03,19.17,17.93
01/05/24 21:47:00,21.73,21.02,19.12,17.92
01/05/24 21:48:00,21.68,20.94,19.07,17.94
01/05/24 21:49:00,21.66,20.93,19.08,17.88
01/05/24 21:50:00,21.65,20.92,19.05,17.85
01/05/24 21:51:00,21.59,20.91,19.01,17.85
01/05/24 21:52:00,21.55,20.84,18.98,17.86
01/05/24 21:53:00,21.54,20.81,18.98,17.85
01/05/24 21:54:00,21.49,20.79,18.98,17.83
01/05/24 21:55:00,21.50,20.75,18.94,17.80
01/05/24 21:56:00,21.42,20.69,18.93,17.77
01/05/24 21:57:00,21.39,20.68,18.87,17.76
01/05/24 21:58:00,21.38,20.61,18.85,17.75
01/05/24 21:59:00,21.30,20.64,18.82,17.74
01/05/24 22:00:00,21.29,20.58,18.83,17.68
01/05/24 22:01:00,21.25,20.59,18.79,17.65
01/05/24 22:02:00,21.23,20.52,18.75,17.67
01/05/24 22:03:00,21.22,20.46,18.74,17.67
01/05/24 22:04:00,21.16,20.44,18.70,17.61
01/05/24 22:05:00,21.15,20.42,18.71,17.59
01/05/24 22:06:00,21.09,20.41,18.66,17.60
01/05/24 22:07:00,21.11,20.36,18.65,17.53
01/05/24 22:08:00,21.06,20.37,18.60,17.55
01/05/24 22:09:00,20.99,20.30,18.59,17.51
01/05/24 22:10:00,20.99,20.36,18.55,17.50
01/05/24 22:11:00,20.98,20.31,18.53,17.51
01/05/24 22:12:00,20.96,20.26,18.51,17.47
01/05/24 22:13:00,20.87,20.22,18.51,17.51
